entity,code,year,co2_total_t,co2_per_capita_t,gdp_constant_usd,co2_total_mt,gdp_billion_usd
Austria,AUT,2005,79095480.0,9.611559,337250591306.0,79.09548,337.250591306
Austria,AUT,2006,76796200.0,9.28623,348276446349.0,76.7962,348.276446349
Austria,AUT,2007,74092160.0,8.93005,361424664731.0,74.09216,361.424664731
Austria,AUT,2008,73466480.0,8.826658,366677269701.0,73.46648,366.677269701
Austria,AUT,2009,67301760.0,8.06485,353527252121.0,67.30176,353.527252121
Austria,AUT,2010,72000250.0,8.607232,359922497999.0,72.00025,359.922497999
Austria,AUT,2011,69891710.0,8.327111,370459113959.0,69.89171,370.459113959
Austria,AUT,2012,67260344.0,7.977175,372786509411.0,67.260344,372.786509411
Austria,AUT,2013,67758860.0,7.989103,371851835129.0,67.75886,371.851835129
Austria,AUT,2014,64158736.0,7.5058665,374662287024.0,64.158736,374.662287024
Austria,AUT,2015,66357780.0,7.6767116,379546097300.0,66.35778,379.5460973
Austria,AUT,2016,67218740.0,7.692762,387581921834.0,67.21874,387.581921834
Austria,AUT,2017,69601480.0,7.9103565,396388751744.0,69.60148,396.388751744
Austria,AUT,2018,66566510.0,7.5287404,406235924915.0,66.56651,406.235924915
Austria,AUT,2019,67951230.0,7.651411,413365268699.0,67.95123,413.365268699
Austria,AUT,2020,62179828.0,6.969737,387247796560.0,62.179828,387.24779656
Austria,AUT,2021,65751344.0,7.3325477,406312360757.0,65.751344,406.312360757
Austria,AUT,2022,61454140.0,6.779517,427972725600.0,61.45414,427.9727256
Austria,AUT,2023,56908956.0,6.2328863,424607814488.0,56.908956,424.607814488
Austria,AUT,2024,56367656.0,6.180112,421809268656.0,56.367656,421.809268656
Belgium,BEL,2005,125657690.0,11.991515,404948883847.0,125.65769,404.948883847
Belgium,BEL,2006,123900460.0,11.7458515,415284559725.0,123.90046,415.284559725
Belgium,BEL,2007,120493400.0,11.3400345,430554259966.0,120.4934,430.554259966
Belgium,BEL,2008,120204350.0,11.2238655,432478429044.0,120.20435,432.478429044
Belgium,BEL,2009,107806790.0,9.970168,424233482718.0,107.80679,424.233482718
Belgium,BEL,2010,114562660.0,10.475143,435731531598.0,114.56266,435.731531598
Belgium,BEL,2011,105158970.0,9.526456,444146182962.0,105.15897,444.146182962
Belgium,BEL,2012,102486240.0,9.226742,445104666468.0,102.48624,445.104666468
Belgium,BEL,2013,102815960.0,9.212671,446464436962.0,102.81596,446.464436962
Belgium,BEL,2014,97080950.0,8.660123,454346946885.0,97.08095,454.346946885
Belgium,BEL,2015,101327496.0,8.986653,461044767544.0,101.327496,461.044767544
Belgium,BEL,2016,99816290.0,8.807806,466547349432.0,99.81629,466.547349432
Belgium,BEL,2017,99282190.0,8.726891,473426439010.0,99.28219,473.42643901
Belgium,BEL,2018,100256370.0,8.772404,482317238282.0,100.25637,482.317238282
Belgium,BEL,2019,99798730.0,8.685232,494099718080.0,99.79873,494.09971808
Belgium,BEL,2020,91254550.0,7.9076037,470417598101.0,91.25455,470.417598101
Belgium,BEL,2021,94928070.0,8.204076,499839663858.0,94.92807,499.839663858
Belgium,BEL,2022,88914970.0,7.6375527,519956253598.0,88.91497,519.956253598
Belgium,BEL,2023,84703360.0,7.2316356,528074098661.0,84.70336,528.074098661
Belgium,BEL,2024,85456200.0,7.2798314,533871052348.0,85.4562,533.871052348
Bulgaria,BGR,2005,50600356.0,6.5757046,40068719166.0,50.600356,40.068719166
