date,temp_max_c,temp_mean_c,humidity_mean_pct,wind_mean_ms,wind_max_ms,precip_sum_mm,sunshine_sum_h,global_radiation_sum_j_cm2,O3_max,O3_mean,O3_score,NO2_max,NO2_mean,NO2_score,PM10_max,PM10_mean,PM10_score,PM2.5_max,PM2.5_mean,PM2.5_score,SO2_max,SO2_mean,SO2_score,dominant_pollutant,dominant_score,month,year,hot_day
2016-01-01,6.7,5.440909090909091,91.63636363636364,1.9727272727272727,2.8,0.0,0.0,0.0,28.1,15.086363636363636,1.0854166666666667,48.6,35.46363636363637,2.62,214.7,54.41818181818182,5.0,0.0,0.0,0.0,4.9,1.4136363636363638,0.49000000000000005,PM10,5.0,1,2016,False
2016-01-02,4.5,2.891666666666667,88.08333333333333,2.6958333333333333,3.7,7.6,0.0,0.0,32.5,15.950000000000001,1.1770833333333333,50.0,32.300000000000004,2.6666666666666665,25.1,18.516666666666666,1.8944444444444444,,,,2.1,1.0583333333333333,0.21000000000000002,NO2,2.6666666666666665,1,2016,False
2016-01-03,5.5,3.5124999999999997,92.70833333333333,2.225,3.9,1.9000000000000001,0.0,0.0,4.5,2.2375,0.1875,39.8,33.9125,2.3266666666666667,19.2,14.691666666666668,1.5666666666666664,,,,1.4,0.8458333333333333,0.13999999999999999,NO2,2.3266666666666667,1,2016,False
2016-01-04,5.9,3.529166666666667,94.70833333333333,2.2125,4.1,9.1,0.0,0.0,12.8,4.604166666666667,0.5333333333333333,76.1,47.68333333333334,3.4025,29.2,18.391666666666666,2.0814814814814815,,,,1.6,0.8958333333333334,0.16000000000000003,NO2,3.4025,1,2016,False
2016-01-05,6.4,5.3500000000000005,92.08333333333333,2.9875000000000003,4.0,1.7,0.0,0.0,30.9,15.108333333333334,1.14375,70.9,46.00416666666666,3.2725,15.7,12.279166666666667,1.3722222222222222,,,,6.0,2.7416666666666667,0.6000000000000001,NO2,3.2725,1,2016,False
2016-01-06,6.3,5.233333333333333,92.95833333333333,1.8833333333333335,3.4,2.0,1.0,0.0,35.4,16.720833333333335,1.2375,59.6,41.99583333333333,2.986666666666667,19.4,11.0875,1.5777777777777775,,,,4.7,1.6333333333333335,0.47000000000000003,NO2,2.986666666666667,1,2016,False
2016-01-07,7.3,5.2875000000000005,89.41666666666667,3.1,7.8,5.5,38.0,0.0,25.3,10.234782608695653,1.0270833333333333,62.2,42.77916666666667,3.055,23.7,13.416666666666666,1.8166666666666664,,,,3.2,1.8958333333333333,0.32000000000000006,NO2,3.055,1,2016,False
2016-01-08,7.1,3.7541666666666664,83.41666666666667,3.8791666666666664,6.9,0.1,344.0,0.0,62.9,28.275000000000002,1.8104166666666666,77.7,43.020833333333336,3.4425,25.9,12.9,1.9388888888888887,,,,3.0,1.4166666666666667,0.30000000000000004,NO2,3.4425,1,2016,False
2016-01-09,4.1,1.0416666666666667,93.41666666666667,1.3583333333333334,2.6,0.0,0.0,0.0,2.8,1.5208333333333333,0.11666666666666665,83.2,59.737500000000004,3.58,39.9,25.8125,2.477777777777778,,,,7.1,2.158333333333333,0.71,NO2,3.58,1,2016,False
2016-01-10,7.9,5.825,89.91666666666667,3.7708333333333335,7.4,7.3,90.0,0.0,53.0,20.604166666666668,1.6041666666666665,62.8,40.541666666666664,3.07,30.8,17.595833333333335,2.140740740740741,,,,9.2,2.5124999999999997,0.9199999999999999,NO2,3.07,1,2016,False
2016-01-11,6.3,5.095833333333333,92.20833333333333,3.970833333333333,6.2,5.4,0.0,0.0,56.9,28.59583333333333,1.6854166666666666,83.5,47.60833333333333,3.5875,8.9,6.5249999999999995,0.9888888888888889,,,,3.3,1.0291666666666666,0.33,NO2,3.5875,1,2016,False
2016-01-12,7.3,5.470833333333334,85.29166666666667,5.508333333333333,8.1,5.1,1.0,0.0,61.5,31.5625,1.78125,62.1,38.7125,3.0525,7.6,6.029166666666666,0.8444444444444443,,,,2.5,0.9416666666666668,0.25,NO2,3.0525,1,2016,False
2016-01-13,6.3,5.041666666666667,80.70833333333333,6.645833333333333,9.8,4.0,2.0,0.0,53.6,37.449999999999996,1.6166666666666667,60.9,30.133333333333336,3.0225,7.9,5.925,0.8777777777777778,,,,0.8,0.8000000000000002,0.08000000000000002,NO2,3.0225,1,2016,False
2016-01-14,5.6,2.5208333333333335,84.5,4.170833333333333,7.9,1.0,33.0,0.0,31.2,18.954166666666666,1.15,64.0,45.729166666666664,3.1,16.3,12.291666666666666,1.4055555555555554,,,,8.1,2.4375,0.81,NO2,3.1,1,2016,False
2016-01-15,3.2,2.504166666666667,84.20833333333333,5.929166666666667,8.4,2.6,0.0,0.0,49.9,29.491666666666664,1.5395833333333333,50.5,36.775,2.6833333333333336,14.0,9.004166666666666,1.2777777777777777,,,,1.9,0.9125000000000001,0.19,NO2,2.6833333333333336,1,2016,False
2016-01-16,4.2,2.220833333333333,76.625,4.4125000000000005,7.6,0.2,12.0,0.0,57.4,32.862500000000004,1.6958333333333333,53.1,29.708333333333332,2.77,22.3,12.1625,1.738888888888889,,,,3.0,0.9083333333333333,0.30000000000000004,NO2,2.77,1,2016,False
2016-01-17,1.3,-0.07083333333333332,74.875,3.6374999999999997,5.3,1.3,88.0,0.0,60.2,47.17083333333333,1.7541666666666667,44.3,22.7,2.4766666666666666,13.6,8.333333333333334,1.2555555555555555,,,,2.4,0.9416666666666668,0.24,NO2,2.4766666666666666,1,2016,False
2016-01-18,-1.0,-4.6875,83.04166666666667,2.154166666666667,3.5,0.0,391.0,0.0,21.3,7.241666666666667,0.8875,66.4,55.12916666666666,3.16,24.5,17.95,1.8611111111111112,,,,2.4,1.2458333333333333,0.24,NO2,3.16,1,2016,False
2016-01-19,-5.1,-5.683333333333334,81.95833333333333,1.8125,2.6,0.0,0.0,0.0,15.2,6.454166666666667,0.6333333333333333,66.3,50.395833333333336,3.1574999999999998,34.3,25.266666666666666,2.27037037037037,,,,4.4,2.0083333333333333,0.44000000000000006,NO2,3.1574999999999998,1,2016,False
2016-01-20,-1.0,-3.0583333333333336,81.08333333333333,3.283333333333333,5.4,0.0,64.0,0.0,9.7,3.7583333333333333,0.4041666666666666,61.2,50.725,3.0300000000000002,43.9,32.77916666666667,2.6259259259259258,,,,3.5,1.6500000000000001,0.35000000000000003,NO2,3.0300000000000002,1,2016,False
2016-01-21,2.1,-0.8125,83.75,1.7583333333333335,2.5,0.0,60.0,0.0,2.5,1.3041666666666667,0.10416666666666666,95.1,67.49166666666666,3.8775,47.5,44.074999999999996,2.759259259259259,,,,4.1,2.2875,0.41,NO2,3.8775,1,2016,False
2016-01-22,0.1,-3.670833333333333,82.70833333333333,2.158333333333333,3.2,0.0,399.0,0.0,14.1,3.2916666666666665,0.5874999999999999,70.0,58.89166666666667,3.25,43.7,38.71666666666667,2.6185185185185187,,,,4.0,1.4625000000000001,0.4,NO2,3.25,1,2016,False
2016-01-23,5.9,2.3874999999999997,93.70833333333333,2.9416666666666664,5.0,3.8000000000000003,0.0,0.0,22.4,4.541666666666667,0.9333333333333332,67.6,56.958333333333336,3.19,45.6,31.05,2.688888888888889,,,,3.2,2.0,0.32000000000000006,NO2,3.19,1,2016,False
2016-01-24,4.9,3.3708333333333336,96.83333333333333,2.5833333333333335,4.1,1.0,0.0,0.0,2.6,2.125,0.10833333333333334,52.5,48.825,2.75,26.8,23.575,1.988888888888889,,,,1.2,0.9,0.12,NO2,2.75,1,2016,False
2016-01-25,11.7,5.783333333333334,90.16666666666667,2.0124999999999997,3.2,0.1,226.0,0.0,6.6,3.141666666666666,0.27499999999999997,96.6,69.17692307692307,3.915,44.5,44.5,2.648148148148148,,,,6.0,2.3076923076923075,0.6000000000000001,NO2,3.915,1,2016,False
2016-01-26,11.5,6.925,83.45833333333333,3.966666666666667,8.3,0.0,182.0,0.0,36.8,8.120833333333334,1.2666666666666666,76.8,56.404347826086955,3.42,42.8,29.258333333333336,2.585185185185185,,,,7.9,1.4272727272727275,0.79,NO2,3.42,1,2016,False
2016-01-27,12.6,10.791666666666666,67.75,6.445833333333333,8.8,0.0,20.0,0.0,45.2,34.025,1.4416666666666667,51.0,36.15833333333334,2.7,19.1,13.0625,1.5611111111111111,,,,12.6,2.668421052631579,1.13,NO2,2.7,1,2016,False
2016-01-28,12.2,8.549999999999999,71.20833333333333,4.670833333333333,8.8,1.3,123.0,0.0,54.3,36.300000000000004,1.6312499999999999,98.6,39.170833333333334,3.965,22.5,12.529166666666667,1.75,,,,0.8,0.8,0.08000000000000002,NO2,3.965,1,2016,False
2016-01-29,9.8,4.7875000000000005,77.33333333333333,5.4125000000000005,9.4,0.0,457.0,0.0,59.9,23.566666666666666,1.7479166666666666,69.8,44.050000000000004,3.245,28.0,17.841666666666665,2.037037037037037,,,,1.4,0.8285714285714286,0.13999999999999999,NO2,3.245,1,2016,False
2016-01-30,9.0,7.3625,77.54166666666667,8.387500000000001,10.5,4.0,0.0,0.0,59.9,50.96666666666667,1.7479166666666666,36.5,26.304166666666664,2.216666666666667,10.6,7.7250000000000005,1.0888888888888888,,,,9.2,1.5208333333333333,0.9199999999999999,NO2,2.216666666666667,1,2016,False
2016-01-31,9.4,5.658333333333334,83.125,4.8374999999999995,7.3,1.5,0.0,0.0,63.9,45.333333333333336,1.8312499999999998,49.0,31.175,2.6333333333333333,11.5,8.6875,1.1388888888888888,,,,13.3,2.9916666666666667,1.165,NO2,2.6333333333333333,1,2016,False
2016-02-01,13.7,12.48695652173913,71.6086956521739,8.126086956521739,11.5,0.30000000000000004,0.0,0.0,59.8,46.77391304347826,1.7458333333333331,38.3,25.830434782608698,2.2766666666666664,12.2,6.834782608695652,1.1777777777777778,,,,1.5,0.8782608695652173,0.15000000000000002,NO2,2.2766666666666664,2,2016,False
2016-02-02,11.7,10.470833333333333,79.0,8.775,11.0,4.8,0.0,0.0,71.0,52.12083333333334,1.9791666666666665,35.0,23.3125,2.1666666666666665,8.9,5.816666666666666,0.9888888888888889,,,,1.2,0.8166666666666668,0.12,NO2,2.1666666666666665,2,2016,False
2016-02-03,6.8,5.175,75.25,5.070833333333334,6.3,0.5,80.0,0.0,70.9,48.262499999999996,1.9770833333333333,56.8,32.625,2.893333333333333,11.9,9.083333333333334,1.1611111111111112,,,,2.4,0.9916666666666667,0.24,NO2,2.893333333333333,2,2016,False
2016-02-04,6.1,4.1875,82.75,5.220833333333333,8.7,6.2,0.0,0.0,44.8,29.537499999999998,1.4333333333333331,66.0,38.06666666666667,3.15,15.2,11.520833333333334,1.3444444444444443,,,,1.8,0.8583333333333334,0.18000000000000002,NO2,3.15,2,2016,False
2016-02-05,9.7,6.408333333333334,86.95833333333333,3.1875,5.4,0.1,0.0,0.0,33.5,15.895833333333334,1.1979166666666667,61.0,46.57916666666667,3.025,19.5,13.754166666666668,1.5833333333333333,,,,10.1,2.5458333333333334,1.005,NO2,3.025,2,2016,False
2016-02-06,13.0,7.508333333333333,78.83333333333333,3.033333333333333,6.1,0.0,344.0,0.0,33.6,13.241666666666667,1.2,88.5,51.791666666666664,3.7125,22.9,13.933333333333332,1.7722222222222221,,,,15.2,6.1875,1.26,NO2,3.7125,2,2016,False
2016-02-07,10.4,5.9750000000000005,82.875,4.108333333333333,9.7,1.1,0.0,0.0,59.5,25.108333333333334,1.7395833333333333,81.2,43.82083333333333,3.5300000000000002,26.5,15.120833333333332,1.9722222222222223,,,,9.8,2.0333333333333337,0.9800000000000001,NO2,3.5300000000000002,2,2016,False
2016-02-08,10.2,7.483333333333333,73.83333333333333,8.829166666666667,11.8,9.7,3.0,0.0,71.7,54.24166666666667,1.99375,34.2,24.458333333333332,2.14,10.0,7.433333333333334,1.0555555555555556,,,,21.6,4.841666666666667,1.58,NO2,2.14,2,2016,False
2016-02-09,9.3,7.379166666666666,79.125,7.5375000000000005,12.4,13.1,0.0,0.0,72.6,50.89166666666667,2.0083333333333333,58.6,32.645833333333336,2.953333333333333,14.4,8.487499999999999,1.3,,,,4.9,1.425,0.49000000000000005,NO2,2.953333333333333,2,2016,False
2016-02-10,5.4,4.295833333333333,79.625,6.7250000000000005,9.0,2.1,1.0,0.0,68.6,47.97083333333333,1.9291666666666665,49.3,29.929166666666664,2.643333333333333,7.4,5.625,0.8222222222222222,,,,5.2,1.8791666666666667,0.52,NO2,2.643333333333333,2,2016,False
2016-02-11,7.1,4.4624999999999995,81.75,4.4750000000000005,6.5,0.5,102.0,0.0,45.7,28.820833333333336,1.4520833333333334,68.2,37.46666666666667,3.205,16.6,9.525,1.4222222222222223,,,,3.6,2.0749999999999997,0.36000000000000004,NO2,3.205,2,2016,False
2016-02-12,6.3,2.783333333333333,80.95833333333333,1.9000000000000001,3.2,0.0,80.0,0.0,44.2,15.154166666666667,1.4208333333333334,80.9,55.78333333333333,3.5225,20.3,14.762500000000001,1.6277777777777778,,,,8.0,1.9041666666666668,0.8,NO2,3.5225,2,2016,False
2016-02-13,4.5,2.1041666666666665,87.04166666666667,2.0500000000000003,3.0,5.0,0.0,0.0,25.8,7.05,1.0375,64.7,54.51666666666667,3.1175,29.4,20.541666666666668,2.088888888888889,,,,4.2,1.3833333333333335,0.42000000000000004,NO2,3.1175,2,2016,False
2016-02-14,8.7,6.541666666666667,82.95833333333333,4.745833333333334,6.5,4.1000000000000005,80.0,0.0,58.4,33.52916666666666,1.7166666666666666,63.5,32.891666666666666,3.0875,20.4,8.891666666666667,1.6333333333333333,,,,6.6,1.7208333333333332,0.66,NO2,3.0875,2,2016,False
2016-02-15,4.5,3.5375,81.125,2.875,5.3,0.30000000000000004,0.0,0.0,36.3,12.520833333333334,1.2562499999999999,56.3,34.09166666666667,2.8766666666666665,25.1,14.583333333333334,1.8944444444444444,,,,0.8,0.8000000000000002,0.08000000000000002,NO2,2.8766666666666665,2,2016,False
2016-02-16,2.3,0.8416666666666667,67.83333333333333,4.1375,5.9,0.0,75.0,0.0,51.4,35.12916666666667,1.5708333333333333,66.4,31.65833333333333,3.16,16.1,14.058333333333332,1.3944444444444444,,,,0.8,0.8000000000000002,0.08000000000000002,NO2,3.16,2,2016,False
2016-02-17,4.4,1.9000000000000001,71.79166666666667,3.0708333333333333,4.5,0.0,224.0,0.0,37.1,23.837500000000002,1.2729166666666667,64.3,37.53333333333333,3.1075,26.2,15.579166666666666,1.9555555555555555,,,,4.5,1.0125,0.45,NO2,3.1075,2,2016,False
2016-02-18,6.0,2.4375,72.70833333333333,2.591666666666667,4.9,0.0,179.0,0.0,41.8,9.941666666666666,1.3708333333333331,89.8,49.25217391304348,3.745,34.0,25.0125,2.259259259259259,,,,7.7,3.545833333333333,0.77,NO2,3.745,2,2016,False
2016-02-19,4.1,0.4958333333333333,87.04166666666667,2.1625,4.6,0.30000000000000004,0.0,0.0,10.1,3.1875,0.4208333333333333,74.6,57.84583333333333,3.3649999999999998,42.2,28.0,2.562962962962963,,,,2.7,1.2,0.27,NO2,3.3649999999999998,2,2016,False
2016-02-20,9.8,3.625,92.41666666666667,6.3,8.8,17.8,0.0,0.0,44.3,26.65833333333333,1.4229166666666666,62.3,38.28333333333333,3.0575,27.0,14.604166666666666,2.0,,,,13.2,4.545833333333333,1.16,NO2,3.0575,2,2016,False
2016-02-21,13.2,11.8375,81.75,9.495833333333334,12.8,1.8,0.0,0.0,57.0,48.94166666666666,1.6875,25.8,14.270833333333334,1.79,5.1,3.625,0.5666666666666665,,,,2.9,1.8875,0.29,NO2,1.79,2,2016,False
2016-02-22,12.5,10.987499999999999,67.41666666666667,10.125,13.8,0.3,10.0,0.0,67.1,57.44583333333333,1.8979166666666665,33.7,18.345833333333335,2.1233333333333335,7.3,5.195833333333334,0.811111111111111,,,,7.9,3.2083333333333335,0.79,NO2,2.1233333333333335,2,2016,False
2016-02-23,5.6,2.8625000000000003,90.25,2.7583333333333333,4.7,14.2,26.0,0.0,68.8,39.35,1.9333333333333331,77.7,38.666666666666664,3.4425,9.5,7.020833333333333,1.0277777777777777,,,,1.8,0.8416666666666668,0.18000000000000002,NO2,3.4425,2,2016,False
2016-02-24,6.3,2.5166666666666666,78.875,2.341666666666667,3.6,0.0,255.0,0.0,49.8,25.15833333333333,1.5374999999999999,87.9,47.64166666666667,3.6975000000000002,18.2,12.845833333333333,1.511111111111111,,,,2.3,1.1624999999999999,0.22999999999999998,NO2,3.6975000000000002,2,2016,False
2016-02-25,5.2,1.5208333333333333,73.75,2.379166666666667,6.2,0.0,419.0,0.0,65.0,19.26666666666667,1.8541666666666665,95.6,54.675000000000004,3.8899999999999997,20.8,14.920833333333334,1.6555555555555554,,,,6.5,1.8499999999999999,0.65,NO2,3.8899999999999997,2,2016,False
2016-02-26,5.3,1.5125000000000002,69.79166666666667,1.7708333333333333,3.5,0.0,298.0,0.0,40.7,14.799999999999999,1.3479166666666667,84.0,62.87083333333334,3.6,27.3,20.920833333333334,2.011111111111111,,,,8.2,2.058333333333333,0.82,NO2,3.6,2,2016,False
2016-02-27,7.7,2.9,61.583333333333336,4.008333333333334,5.3,0.0,582.0,0.0,50.7,31.866666666666664,1.55625,56.0,37.208333333333336,2.8666666666666667,31.3,22.066666666666666,2.1592592592592594,,,,1.2,0.8166666666666668,0.12,NO2,2.8666666666666667,2,2016,False
2016-02-28,5.6,2.8791666666666664,62.75,5.720833333333334,8.7,0.0,4.0,0.0,66.8,48.35833333333333,1.8916666666666666,44.8,25.15416666666667,2.493333333333333,39.8,30.820833333333336,2.474074074074074,,,,2.5,1.675,0.25,NO2,2.493333333333333,2,2016,False
2016-02-29,5.6,3.8208333333333333,57.208333333333336,7.929166666666667,10.5,0.0,22.0,0.0,66.2,57.87083333333334,1.8791666666666667,43.1,22.995833333333334,2.4366666666666665,40.8,30.3,2.511111111111111,,,,3.5,1.8083333333333333,0.35000000000000003,PM10,2.511111111111111,2,2016,False
