"Station code";Date;"Particulate matter (PM₁₀) One hour average in µg/m³";"Ozone (O₃) One hour average in µg/m³";"Nitrogen dioxide (NO₂) One hour average in µg/m³";"Particulate matter (PM₂,₅) One hour average in µg/m³";"Sulphur dioxide (SO₂) One hour average in µg/m³";"Air quality index"
DEBB021;"'2023-01-01 01:00'";-;54;8;-;4;good
DEBB021;"'2023-01-01 02:00'";-;59;4;-;2;good
DEBB021;"'2023-01-01 03:00'";-;59;4;-;1;good
DEBB021;"'2023-01-01 04:00'";-;60;4;-;1;good
DEBB021;"'2023-01-01 05:00'";-;61;4;-;0.8;good
DEBB021;"'2023-01-01 06:00'";-;60;4;-;0.8;good
DEBB021;"'2023-01-01 07:00'";-;60;4;-;1;good
DEBB021;"'2023-01-01 08:00'";-;58;4;-;0.5;good
DEBB021;"'2023-01-01 09:00'";-;56;4;-;0.5;good
DEBB021;"'2023-01-01 10:00'";-;56;4;-;0.5;good
DEBB021;"'2023-01-01 11:00'";-;57;4;-;0.5;good
DEBB021;"'2023-01-01 12:00'";-;58;4;-;0.5;good
DEBB021;"'2023-01-01 13:00'";-;58;4;-;0.5;good
DEBB021;"'2023-01-01 14:00'";-;57;5;-;0.5;good
DEBB021;"'2023-01-01 15:00'";-;58;6;-;0.5;good
DEBB021;"'2023-01-01 16:00'";-;56;7;-;0.5;good
DEBB021;"'2023-01-01 17:00'";-;51;10;-;0.5;good
DEBB021;"'2023-01-01 18:00'";-;37;22;-;0.5;good
DEBB021;"'2023-01-01 19:00'";-;12;45;-;0.5;moderate
DEBB021;"'2023-01-01 20:00'";-;21;37;-;2;moderate
DEBB021;"'2023-01-01 21:00'";-;54;8;-;0.5;good
DEBB021;"'2023-01-01 22:00'";-;55;7;-;0.5;good
DEBB021;"'2023-01-01 23:00'";-;51;8;-;0.8;good
DEBB021;"'2023-01-01 24:00'";-;47;8;-;1;good
DEBB021;"'2023-01-02 01:00'";-;43;8;-;1;good
DEBB021;"'2023-01-02 02:00'";-;40;10;-;0.9;good
DEBB021;"'2023-01-02 03:00'";-;41;8;-;0.5;good
DEBB021;"'2023-01-02 04:00'";-;47;6;-;0.5;good
DEBB021;"'2023-01-02 05:00'";-;45;6;-;0.5;good
DEBB021;"'2023-01-02 06:00'";-;43;8;-;1;good
DEBB021;"'2023-01-02 07:00'";-;42;10;-;0.8;good
DEBB021;"'2023-01-02 08:00'";-;43;11;-;0.9;good
DEBB021;"'2023-01-02 09:00'";-;45;11;-;2;good
DEBB021;"'2023-01-02 10:00'";-;47;12;-;2;good
DEBB021;"'2023-01-02 11:00'";-;48;12;-;1;good
DEBB021;"'2023-01-02 12:00'";-;50;11;-;1;good
DEBB021;"'2023-01-02 13:00'";-;51;12;-;1;good
DEBB021;"'2023-01-02 14:00'";16;55;10;7;1;good
DEBB021;"'2023-01-02 15:00'";17;55;9;7;0.5;good
DEBB021;"'2023-01-02 16:00'";18;56;9;8;0.9;good
DEBB021;"'2023-01-02 17:00'";15;62;8;7;0.9;good
DEBB021;"'2023-01-02 18:00'";8;68;7;5;0.5;good
DEBB021;"'2023-01-02 19:00'";6;66;9;4;0.8;good
DEBB021;"'2023-01-02 20:00'";7;68;8;5;0.5;good
DEBB021;"'2023-01-02 21:00'";4;70;6;3;0.5;good
DEBB021;"'2023-01-02 22:00'";4;70;6;3;0.5;good
DEBB021;"'2023-01-02 23:00'";5;68;6;3;0.5;good
DEBB021;"'2023-01-02 24:00'";5;69;6;3;0.5;good
DEBB021;"'2023-01-03 01:00'";6;68;7;3;0.8;good
DEBB021;"'2023-01-03 02:00'";5;70;5;3;0.5;good
DEBB021;"'2023-01-03 03:00'";5;66;6;3;0.5;good
DEBB021;"'2023-01-03 04:00'";6;64;7;4;0.5;good
DEBB021;"'2023-01-03 05:00'";6;67;6;4;0.5;good
